Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Años de escolaridad promedio,Años de escolaridad promedio para la población de 18 años o más
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11302,O'Higgins,"11,1","12,0"
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11303,Tortel,"14,5","14,5"
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11401,Chile Chico,"10,4","12,2"
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11402,Río Ibáñez,"12,8","13,2"
12,Magallanes y de la Antártica Chilena,121,Magallanes,12101,Punta Arenas,"11,4","12,8"
12,Magallanes y de la Antártica Chilena,121,Magallanes,12102,Laguna Blanca,"11,1","11,1"
12,Magallanes y de la Antártica Chilena,121,Magallanes,12103,Río Verde,"9,3","9,3"
12,Magallanes y de la Antártica Chilena,121,Magallanes,12104,San Gregorio,"9,1","9,7"
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12201,Cabo de Hornos,"13,3","14,2"
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12202,Antártica,-,-
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12301,Porvenir,"10,8","12,0"
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12302,Primavera,"9,4","10,9"
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12303,Timaukel,"13,0","13,0"
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12401,Natales,"11,2","12,5"
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12402,Torres del Paine,"12,9","14,9"
