Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas sin hacinamiento,Viviendas con hacinamiento medio,Viviendas con hacinamiento crítico,Índice de hacinamiento ignorado
10,Los Lagos,102,Chiloé,10204,Curaco de Vélez,1.418,1.359,58,1,0
10,Los Lagos,102,Chiloé,10205,Dalcahue,5.590,5.315,255,20,0
10,Los Lagos,102,Chiloé,10206,Puqueldón,1.546,1.483,59,4,0
10,Los Lagos,102,Chiloé,10207,Queilén,2.226,2.132,90,4,0
10,Los Lagos,102,Chiloé,10208,Quellón,10.757,10.124,586,47,0
10,Los Lagos,102,Chiloé,10209,Quemchi,3.361,3.249,105,7,0
10,Los Lagos,102,Chiloé,10210,Quinchao,3.004,2.860,130,14,0
10,Los Lagos,103,Osorno,10301,Osorno,61.741,58.517,2.822,394,8
10,Los Lagos,103,Osorno,10302,Puerto Octay,3.310,3.112,182,16,0
10,Los Lagos,103,Osorno,10303,Purranque,7.190,6.819,324,46,1
10,Los Lagos,103,Osorno,10304,Puyehue,4.373,4.117,226,30,0
10,Los Lagos,103,Osorno,10305,Río Negro,5.221,4.960,237,21,3
10,Los Lagos,103,Osorno,10306,San Juan de la Costa,3.329,3.155,148,26,0
